[2023-12-22 09:47:19] [INFO]    [OmnipathR] Welcome to OmnipathR!
[2023-12-22 09:47:23] [INFO]    [OmnipathR] Loaded database `Ensembl and OMA organism names`.
[2023-12-22 09:47:24] [TRACE]   [OmnipathR] Reading JSON from `https://omnipathdb.org/resources` (encoding: UTF-8).
[2023-12-22 09:47:24] [TRACE]   [OmnipathR] JSON validation successful: TRUE
[2023-12-22 09:47:24] [TRACE]   [OmnipathR] Looking up in cache: `https://omnipathdb.org/annotations?resources=PROGENy&license=academic`
[2023-12-22 09:47:26] [TRACE]   [OmnipathR] Loaded data from RDS `C:\Users\piotr\AppData\Local\cache\OmnipathR/3492392585ba05414edfae46801492076437d7e7-1.rds`.
[2023-12-22 09:47:26] [INFO]    [OmnipathR] Loaded from cache: `https://omnipathdb.org/annotations?resources=PROGENy&license=academic`
[2023-12-22 09:47:26] [SUCCESS] [OmnipathR] Loaded 700239 annotation records from cache.
[2023-12-22 10:35:33] [TRACE]   [OmnipathR] Looking up in cache: `https://omnipathdb.org/interactions?genesymbols=yes&datasets=collectri&organisms=9606&dorothea_levels=A,B&fields=evidences,sources,references,curation_effort&loops=yes&license=academic`
[2023-12-22 10:35:33] [TRACE]   [OmnipathR] Loaded data from RDS `C:\Users\piotr\AppData\Local\cache\OmnipathR/82abc02990e13a4b0186ba97e7e04cb7c5c780b2-1.rds`.
[2023-12-22 10:35:33] [INFO]    [OmnipathR] Loaded from cache: `https://omnipathdb.org/interactions?genesymbols=yes&datasets=collectri&organisms=9606&dorothea_levels=A,B&fields=evidences,sources,references,curation_effort&loops=yes&license=academic`
[2023-12-22 10:35:33] [TRACE]   [OmnipathR] Converting JSON column `evidences` to list.
[2023-12-22 10:35:39] [TRACE]   [OmnipathR] Restricting interaction records to datasets: collectri; and resources: any
[2023-12-22 10:35:43] [TRACE]   [OmnipathR] Filtering evidence columns: positive, negative, directed, undirected; to datasets: collectri; and resources: any
[2023-12-22 10:37:52] [SUCCESS] [OmnipathR] Downloaded 64958 interactions.
[2023-12-22 10:37:52] [TRACE]   [OmnipathR] Reading JSON from `https://omnipathdb.org/resources` (encoding: UTF-8).
[2023-12-22 10:37:52] [TRACE]   [OmnipathR] JSON validation successful: TRUE
[2023-12-22 10:37:53] [TRACE]   [OmnipathR] Looking up in cache: `https://omnipathdb.org/interactions?genesymbols=yes&resources=CollecTRI&datasets=tf_mirna&organisms=9606&fields=evidences,sources,references,curation_effort&license=academic`
[2023-12-22 10:37:53] [TRACE]   [OmnipathR] Loaded data from RDS `C:\Users\piotr\AppData\Local\cache\OmnipathR/f7d34500401ba98803b7d2b26c48f64cee1eea1b-1.rds`.
[2023-12-22 10:37:53] [INFO]    [OmnipathR] Loaded from cache: `https://omnipathdb.org/interactions?genesymbols=yes&resources=CollecTRI&datasets=tf_mirna&organisms=9606&fields=evidences,sources,references,curation_effort&license=academic`
[2023-12-22 10:37:53] [TRACE]   [OmnipathR] Converting JSON column `evidences` to list.
[2023-12-22 10:37:53] [TRACE]   [OmnipathR] Restricting interaction records to datasets: tf_mirna; and resources: CollecTRI
[2023-12-22 10:37:53] [TRACE]   [OmnipathR] Filtering evidence columns: positive, negative, directed, undirected; to datasets: tf_mirna; and resources: CollecTRI
[2023-12-22 10:37:54] [SUCCESS] [OmnipathR] Downloaded 232 interactions.
[2023-12-22 10:38:33] [TRACE]   [OmnipathR] Looking up in cache: `https://omnipathdb.org/interactions?genesymbols=yes&datasets=collectri&organisms=9606&dorothea_levels=A,B&fields=evidences,sources,references,curation_effort&loops=yes&license=academic`
[2023-12-22 10:38:33] [TRACE]   [OmnipathR] Loaded data from RDS `C:\Users\piotr\AppData\Local\cache\OmnipathR/82abc02990e13a4b0186ba97e7e04cb7c5c780b2-1.rds`.
[2023-12-22 10:38:33] [INFO]    [OmnipathR] Loaded from cache: `https://omnipathdb.org/interactions?genesymbols=yes&datasets=collectri&organisms=9606&dorothea_levels=A,B&fields=evidences,sources,references,curation_effort&loops=yes&license=academic`
[2023-12-22 10:38:33] [TRACE]   [OmnipathR] Converting JSON column `evidences` to list.
[2023-12-22 10:38:38] [TRACE]   [OmnipathR] Restricting interaction records to datasets: collectri; and resources: any
[2023-12-22 10:38:42] [TRACE]   [OmnipathR] Filtering evidence columns: positive, negative, directed, undirected; to datasets: collectri; and resources: any
[2023-12-22 10:38:53] [TRACE]   [OmnipathR] Looking up in cache: `https://omnipathdb.org/interactions?genesymbols=yes&datasets=collectri&organisms=9606&dorothea_levels=A,B&fields=evidences,sources,references,curation_effort&loops=yes&license=academic`
[2023-12-22 10:38:54] [TRACE]   [OmnipathR] Loaded data from RDS `C:\Users\piotr\AppData\Local\cache\OmnipathR/82abc02990e13a4b0186ba97e7e04cb7c5c780b2-1.rds`.
[2023-12-22 10:38:54] [INFO]    [OmnipathR] Loaded from cache: `https://omnipathdb.org/interactions?genesymbols=yes&datasets=collectri&organisms=9606&dorothea_levels=A,B&fields=evidences,sources,references,curation_effort&loops=yes&license=academic`
[2023-12-22 10:38:54] [TRACE]   [OmnipathR] Converting JSON column `evidences` to list.
[2023-12-22 10:38:59] [TRACE]   [OmnipathR] Restricting interaction records to datasets: collectri; and resources: any
[2023-12-22 10:39:04] [TRACE]   [OmnipathR] Filtering evidence columns: positive, negative, directed, undirected; to datasets: collectri; and resources: any
[2023-12-22 10:41:07] [SUCCESS] [OmnipathR] Downloaded 64958 interactions.
[2023-12-22 10:41:07] [TRACE]   [OmnipathR] Reading JSON from `https://omnipathdb.org/resources` (encoding: UTF-8).
[2023-12-22 10:41:07] [TRACE]   [OmnipathR] JSON validation successful: TRUE
[2023-12-22 10:41:08] [TRACE]   [OmnipathR] Looking up in cache: `https://omnipathdb.org/interactions?genesymbols=yes&resources=CollecTRI&datasets=tf_mirna&organisms=9606&fields=evidences,sources,references,curation_effort&license=academic`
[2023-12-22 10:41:08] [TRACE]   [OmnipathR] Loaded data from RDS `C:\Users\piotr\AppData\Local\cache\OmnipathR/f7d34500401ba98803b7d2b26c48f64cee1eea1b-1.rds`.
[2023-12-22 10:41:08] [INFO]    [OmnipathR] Loaded from cache: `https://omnipathdb.org/interactions?genesymbols=yes&resources=CollecTRI&datasets=tf_mirna&organisms=9606&fields=evidences,sources,references,curation_effort&license=academic`
[2023-12-22 10:41:08] [TRACE]   [OmnipathR] Converting JSON column `evidences` to list.
[2023-12-22 10:41:08] [TRACE]   [OmnipathR] Restricting interaction records to datasets: tf_mirna; and resources: CollecTRI
[2023-12-22 10:41:08] [TRACE]   [OmnipathR] Filtering evidence columns: positive, negative, directed, undirected; to datasets: tf_mirna; and resources: CollecTRI
[2023-12-22 10:41:08] [SUCCESS] [OmnipathR] Downloaded 232 interactions.
